rulename,diff,lwr,upr,padj
憤慨-愛,23.3,16.18850298,30.41149702,5.76E-13
恥辱-愛,24.1,16.98850298,31.21149702,5.75E-13
悲憤-愛,24.6,17.48850298,31.71149702,5.75E-13
憎悪-愛,25.2,18.08850298,32.31149702,5.75E-13
絶望-愛,28.7,21.58850298,35.81149702,5.75E-13
信頼-感動,0.4,-6.711497019,7.511497019,1
優越-感動,2,-5.111497019,9.111497019,0.999999922
好奇心-感動,2.2,-4.911497019,9.311497019,0.999999226
期待（予測）-感動,2.4,-4.711497019,9.511497019,0.999994326
楽観-感動,3.5,-3.611497019,10.61149702,0.992866428
自尊心-感動,4.7,-2.411497019,11.81149702,0.788075115
運命-感動,4.7,-2.411497019,11.81149702,0.788075115
驚き-感動,5.7,-1.411497019,12.81149702,0.373013931
感傷-感動,12.7,5.588502981,19.81149702,2.61E-08
不安-感動,13.1,5.988502981,20.21149702,7.11E-09
不健全-感動,13.4,6.288502981,20.51149702,2.64E-09
皮肉-感動,13.5,6.388502981,20.61149702,1.89E-09
後悔-感動,14.1,6.988502981,21.21149702,2.46E-10
罪悪感-感動,14.2,7.088502981,21.31149702,1.74E-10
服従-感動,14.9,7.788502981,22.01149702,1.57E-11
攻撃-感動,15.7,8.588502981,22.81149702,1.71E-12
軽蔑-感動,16.4,9.288502981,23.51149702,9.36E-13
恐れ-感動,16.8,9.688502981,23.91149702,8.79E-13
怒り-感動,17,9.888502981,24.11149702,8.85E-13
畏怖-感動,18.4,11.28850298,25.51149702,8.84E-13
悲観-感動,19.4,12.28850298,26.51149702,8.59E-13
拒絶-感動,20,12.88850298,27.11149702,8.18E-13
嫌悪-感動,20.1,12.98850298,27.21149702,8.17E-13
悲しみ-感動,20.2,13.08850298,27.31149702,7.96E-13
憤慨-感動,21.3,14.18850298,28.41149702,6.50E-13
恥辱-感動,22.1,14.98850298,29.21149702,5.97E-13
悲憤-感動,22.6,15.48850298,29.71149702,5.84E-13
憎悪-感動,23.2,16.08850298,30.31149702,5.77E-13
絶望-感動,26.7,19.58850298,33.81149702,5.75E-13
優越-信頼,1.6,-5.511497019,8.711497019,1
好奇心-信頼,1.8,-5.311497019,8.911497019,0.999999995
期待（予測）-信頼,2,-5.111497019,9.111497019,0.999999922
楽観-信頼,3.1,-4.011497019,10.21149702,0.999026092
自尊心-信頼,4.3,-2.811497019,11.41149702,0.904517065
運命-信頼,4.3,-2.811497019,11.41149702,0.904517065
驚き-信頼,5.3,-1.811497019,12.41149702,0.541044327
感傷-信頼,12.3,5.188502981,19.41149702,9.29E-08
不安-信頼,12.7,5.588502981,19.81149702,2.61E-08
不健全-信頼,13,5.888502981,20.11149702,9.87E-09
皮肉-信頼,13.1,5.988502981,20.21149702,7.11E-09
後悔-信頼,13.7,6.588502981,20.81149702,9.62E-10
罪悪感-信頼,13.8,6.688502981,20.91149702,6.86E-10
服従-信頼,14.5,7.388502981,21.61149702,6.18E-11
攻撃-信頼,15.3,8.188502981,22.41149702,4.40E-12
軽蔑-信頼,16,8.888502981,23.11149702,1.14E-12
恐れ-信頼,16.4,9.288502981,23.51149702,9.36E-13
怒り-信頼,16.6,9.488502981,23.71149702,9.06E-13
畏怖-信頼,18,10.88850298,25.11149702,8.77E-13
悲観-信頼,19,11.88850298,26.11149702,8.74E-13
拒絶-信頼,19.6,12.48850298,26.71149702,8.39E-13
嫌悪-信頼,19.7,12.58850298,26.81149702,8.38E-13
悲しみ-信頼,19.8,12.68850298,26.91149702,8.36E-13
憤慨-信頼,20.9,13.78850298,28.01149702,7.01E-13
恥辱-信頼,21.7,14.58850298,28.81149702,6.17E-13
悲憤-信頼,22.2,15.08850298,29.31149702,5.89E-13
憎悪-信頼,22.8,15.68850298,29.91149702,5.79E-13
絶望-信頼,26.3,19.18850298,33.41149702,5.75E-13
好奇心-優越,0.2,-6.911497019,7.311497019,1
期待（予測）-優越,0.4,-6.711497019,7.511497019,1
楽観-優越,1.5,-5.611497019,8.611497019,1
自尊心-優越,2.7,-4.411497019,9.811497019,0.99993003
運命-優越,2.7,-4.411497019,9.811497019,0.99993003
驚き-優越,3.7,-3.411497019,10.81149702,0.984107171
感傷-優越,10.7,3.588502981,17.81149702,1.10E-05
不安-優越,11.1,3.988502981,18.21149702,3.51E-06
不健全-優越,11.4,4.288502981,18.51149702,1.45E-06
皮肉-優越,11.5,4.388502981,18.61149702,1.08E-06
後悔-優越,12.1,4.988502981,19.21149702,1.74E-07
罪悪感-優越,12.2,5.088502981,19.31149702,1.27E-07
服従-優越,12.9,5.788502981,20.01149702,1.37E-08
攻撃-優越,13.7,6.588502981,20.81149702,9.62E-10
軽蔑-優越,14.4,7.288502981,21.51149702,8.74E-11
恐れ-優越,14.8,7.688502981,21.91149702,2.20E-11
怒り-優越,15,7.888502981,22.11149702,1.12E-11
畏怖-優越,16.4,9.288502981,23.51149702,9.36E-13
悲観-優越,17.4,10.28850298,24.51149702,8.86E-13
拒絶-優越,18,10.88850298,25.11149702,8.77E-13
嫌悪-優越,18.1,10.98850298,25.21149702,8.64E-13
悲しみ-優越,18.2,11.08850298,25.31149702,8.85E-13
憤慨-優越,19.3,12.18850298,26.41149702,8.67E-13
恥辱-優越,20.1,12.98850298,27.21149702,8.17E-13
悲憤-優越,20.6,13.48850298,27.71149702,7.44E-13
憎悪-優越,21.2,14.08850298,28.31149702,6.63E-13
絶望-優越,24.7,17.58850298,31.81149702,5.75E-13
期待（予測）-好奇心,0.2,-6.911497019,7.311497019,1
楽観-好奇心,1.3,-5.811497019,8.411497019,1
自尊心-好奇心,2.5,-4.611497019,9.611497019,0.9999861
運命-好奇心,2.5,-4.611497019,9.611497019,0.9999861
驚き-好奇心,3.5,-3.611497019,10.61149702,0.992866428
感傷-好奇心,10.5,3.388502981,17.61149702,1.93E-05
不安-好奇心,10.9,3.788502981,18.01149702,6.25E-06
不健全-好奇心,11.2,4.088502981,18.31149702,2.62E-06
皮肉-好奇心,11.3,4.188502981,18.41149702,1.95E-06
後悔-好奇心,11.9,4.788502981,19.01149702,3.22E-07
罪悪感-好奇心,12,4.888502981,19.11149702,2.37E-07
服従-好奇心,12.7,5.588502981,19.81149702,2.61E-08
攻撃-好奇心,13.5,6.388502981,20.61149702,1.89E-09
軽蔑-好奇心,14.2,7.088502981,21.31149702,1.74E-10
恐れ-好奇心,14.6,7.488502981,21.71149702,4.38E-11
怒り-好奇心,14.8,7.688502981,21.91149702,2.20E-11
畏怖-好奇心,16.2,9.088502981,23.31149702,1.00E-12
悲観-好奇心,17.2,10.08850298,24.31149702,8.75E-13
拒絶-好奇心,17.8,10.68850298,24.91149702,8.80E-13
嫌悪-好奇心,17.9,10.78850298,25.01149702,8.86E-13
悲しみ-好奇心,18,10.88850298,25.11149702,8.77E-13
憤慨-好奇心,19.1,11.98850298,26.21149702,8.78E-13
恥辱-好奇心,19.9,12.78850298,27.01149702,8.24E-13
悲憤-好奇心,20.4,13.28850298,27.51149702,7.71E-13
憎悪-好奇心,21,13.88850298,28.11149702,6.88E-13
絶望-好奇心,24.5,17.38850298,31.61149702,5.75E-13
楽観-期待（予測）,1.1,-6.011497019,8.211497019,1
自尊心-期待（予測）,2.3,-4.811497019,9.411497019,0.999997829
運命-期待（予測）,2.3,-4.811497019,9.411497019,0.999997829
驚き-期待（予測）,3.3,-3.811497019,10.41149702,0.997172144
感傷-期待（予測）,10.3,3.188502981,17.41149702,3.35E-05
不安-期待（予測）,10.7,3.588502981,17.81149702,1.10E-05
不健全-期待（予測）,11,3.888502981,18.11149702,4.69E-06
皮肉-期待（予測）,11.1,3.988502981,18.21149702,3.51E-06
後悔-期待（予測）,11.7,4.588502981,18.81149702,5.92E-07
罪悪感-期待（予測）,11.8,4.688502981,18.91149702,4.37E-07
服従-期待（予測）,12.5,5.388502981,19.61149702,4.94E-08
攻撃-期待（予測）,13.3,6.188502981,20.41149702,3.67E-09
軽蔑-期待（予測）,14,6.888502981,21.11149702,3.47E-10
恐れ-期待（予測）,14.4,7.288502981,21.51149702,8.74E-11
怒り-期待（予測）,14.6,7.488502981,21.71149702,4.38E-11
畏怖-期待（予測）,16,8.888502981,23.11149702,1.14E-12
悲観-期待（予測）,17,9.888502981,24.11149702,8.85E-13
拒絶-期待（予測）,17.6,10.48850298,24.71149702,8.78E-13
嫌悪-期待（予測）,17.7,10.58850298,24.81149702,8.82E-13
悲しみ-期待（予測）,17.8,10.68850298,24.91149702,8.80E-13
憤慨-期待（予測）,18.9,11.78850298,26.01149702,8.68E-13
恥辱-期待（予測）,19.7,12.58850298,26.81149702,8.38E-13
悲憤-期待（予測）,20.2,13.08850298,27.31149702,7.96E-13
憎悪-期待（予測）,20.8,13.68850298,27.91149702,7.12E-13
絶望-期待（予測）,24.3,17.18850298,31.41149702,5.75E-13
自尊心-楽観,1.2,-5.911497019,8.311497019,1
運命-楽観,1.2,-5.911497019,8.311497019,1
驚き-楽観,2.2,-4.911497019,9.311497019,0.999999226
感傷-楽観,9.2,2.088502981,16.31149702,0.000582132
不安-楽観,9.6,2.488502981,16.71149702,0.000213409
不健全-楽観,9.9,2.788502981,17.01149702,9.79E-05
皮肉-楽観,10,2.888502981,17.11149702,7.51E-05
後悔-楽観,10.6,3.488502981,17.71149702,1.46E-05
罪悪感-楽観,10.7,3.588502981,17.81149702,1.10E-05
服従-楽観,11.4,4.288502981,18.51149702,1.45E-06
攻撃-楽観,12.2,5.088502981,19.31149702,1.27E-07
軽蔑-楽観,12.9,5.788502981,20.01149702,1.37E-08
恐れ-楽観,13.3,6.188502981,20.41149702,3.67E-09
怒り-楽観,13.5,6.388502981,20.61149702,1.89E-09
畏怖-楽観,14.9,7.788502981,22.01149702,1.57E-11
悲観-楽観,15.9,8.788502981,23.01149702,1.27E-12
拒絶-楽観,16.5,9.388502981,23.61149702,9.05E-13
嫌悪-楽観,16.6,9.488502981,23.71149702,9.06E-13
悲しみ-楽観,16.7,9.588502981,23.81149702,8.84E-13
憤慨-楽観,17.8,10.68850298,24.91149702,8.80E-13
恥辱-楽観,18.6,11.48850298,25.71149702,8.95E-13
悲憤-楽観,19.1,11.98850298,26.21149702,8.78E-13
憎悪-楽観,19.7,12.58850298,26.81149702,8.38E-13
絶望-楽観,23.2,16.08850298,30.31149702,5.77E-13
運命-自尊心,3.55E-14,-7.111497019,7.111497019,1
驚き-自尊心,1,-6.111497019,8.111497019,1
感傷-自尊心,8,0.888502981,15.11149702,0.008990693
不安-自尊心,8.4,1.288502981,15.51149702,0.003791185
不健全-自尊心,8.7,1.588502981,15.81149702,0.001919271
皮肉-自尊心,8.8,1.688502981,15.91149702,0.001520515
後悔-自尊心,9.4,2.288502981,16.51149702,0.00035432
罪悪感-自尊心,9.5,2.388502981,16.61149702,0.000275337
服従-自尊心,10.2,3.088502981,17.31149702,4.39E-05
攻撃-自尊心,11,3.888502981,18.11149702,4.69E-06
軽蔑-自尊心,11.7,4.588502981,18.81149702,5.92E-07
恐れ-自尊心,12.1,4.988502981,19.21149702,1.74E-07
怒り-自尊心,12.3,5.188502981,19.41149702,9.29E-08
畏怖-自尊心,13.7,6.588502981,20.81149702,9.62E-10
悲観-自尊心,14.7,7.588502981,21.81149702,3.10E-11
拒絶-自尊心,15.3,8.188502981,22.41149702,4.40E-12
嫌悪-自尊心,15.4,8.288502981,22.51149702,3.35E-12
悲しみ-自尊心,15.5,8.388502981,22.61149702,2.60E-12
憤慨-自尊心,16.6,9.488502981,23.71149702,9.06E-13
恥辱-自尊心,17.4,10.28850298,24.51149702,8.86E-13
悲憤-自尊心,17.9,10.78850298,25.01149702,8.86E-13
憎悪-自尊心,18.5,11.38850298,25.61149702,8.63E-13
絶望-自尊心,22,14.88850298,29.11149702,6.02E-13
驚き-運命,1,-6.111497019,8.111497019,1
感傷-運命,8,0.888502981,15.11149702,0.008990693
不安-運命,8.4,1.288502981,15.51149702,0.003791185
不健全-運命,8.7,1.588502981,15.81149702,0.001919271
皮肉-運命,8.8,1.688502981,15.91149702,0.001520515
後悔-運命,9.4,2.288502981,16.51149702,0.00035432
罪悪感-運命,9.5,2.388502981,16.61149702,0.000275337
服従-運命,10.2,3.088502981,17.31149702,4.39E-05
攻撃-運命,11,3.888502981,18.11149702,4.69E-06
軽蔑-運命,11.7,4.588502981,18.81149702,5.92E-07
恐れ-運命,12.1,4.988502981,19.21149702,1.74E-07
怒り-運命,12.3,5.188502981,19.41149702,9.29E-08
畏怖-運命,13.7,6.588502981,20.81149702,9.62E-10
悲観-運命,14.7,7.588502981,21.81149702,3.10E-11
拒絶-運命,15.3,8.188502981,22.41149702,4.40E-12
嫌悪-運命,15.4,8.288502981,22.51149702,3.35E-12
悲しみ-運命,15.5,8.388502981,22.61149702,2.60E-12
憤慨-運命,16.6,9.488502981,23.71149702,9.06E-13
恥辱-運命,17.4,10.28850298,24.51149702,8.86E-13
悲憤-運命,17.9,10.78850298,25.01149702,8.86E-13
憎悪-運命,18.5,11.38850298,25.61149702,8.63E-13
絶望-運命,22,14.88850298,29.11149702,6.02E-13
感傷-驚き,7,-0.111497019,14.11149702,0.060667077
不安-驚き,7.4,0.288502981,14.51149702,0.029601978
不健全-驚き,7.7,0.588502981,14.81149702,0.016582864
皮肉-驚き,7.8,0.688502981,14.91149702,0.013569632
後悔-驚き,8.4,1.288502981,15.51149702,0.003791185
罪悪感-驚き,8.5,1.388502981,15.61149702,0.003030772
服従-驚き,9.2,2.088502981,16.31149702,0.000582132
攻撃-驚き,10,2.888502981,17.11149702,7.51E-05
軽蔑-驚き,10.7,3.588502981,17.81149702,1.10E-05
恐れ-驚き,11.1,3.988502981,18.21149702,3.51E-06
怒り-驚き,11.3,4.188502981,18.41149702,1.95E-06
畏怖-驚き,12.7,5.588502981,19.81149702,2.61E-08
悲観-驚き,13.7,6.588502981,20.81149702,9.62E-10
拒絶-驚き,14.3,7.188502981,21.41149702,1.23E-10
嫌悪-驚き,14.4,7.288502981,21.51149702,8.74E-11
悲しみ-驚き,14.5,7.388502981,21.61149702,6.18E-11
憤慨-驚き,15.6,8.488502981,22.71149702,2.07E-12
恥辱-驚き,16.4,9.288502981,23.51149702,9.36E-13
悲憤-驚き,16.9,9.788502981,24.01149702,8.87E-13
憎悪-驚き,17.5,10.38850298,24.61149702,8.88E-13
絶望-驚き,21,13.88850298,28.11149702,6.88E-13
不安-感傷,0.4,-6.711497019,7.511497019,1
不健全-感傷,0.7,-6.411497019,7.811497019,1
皮肉-感傷,0.8,-6.311497019,7.911497019,1
後悔-感傷,1.4,-5.711497019,8.511497019,1
罪悪感-感傷,1.5,-5.611497019,8.611497019,1
服従-感傷,2.2,-4.911497019,9.311497019,0.999999226
攻撃-感傷,3,-4.111497019,10.11149702,0.999460973
軽蔑-感傷,3.7,-3.411497019,10.81149702,0.984107171
恐れ-感傷,4.1,-3.011497019,11.21149702,0.942546091
怒り-感傷,4.3,-2.811497019,11.41149702,0.904517065
畏怖-感傷,5.7,-1.411497019,12.81149702,0.373013931
悲観-感傷,6.7,-0.411497019,13.81149702,0.099354305
拒絶-感傷,7.3,0.188502981,14.41149702,0.035634852
嫌悪-感傷,7.4,0.288502981,14.51149702,0.029601978
悲しみ-感傷,7.5,0.388502981,14.61149702,0.024494782
憤慨-感傷,8.6,1.488502981,15.71149702,0.002415453
恥辱-感傷,9.4,2.288502981,16.51149702,0.00035432
悲憤-感傷,9.9,2.788502981,17.01149702,9.79E-05
憎悪-感傷,10.5,3.388502981,17.61149702,1.93E-05
絶望-感傷,14,6.888502981,21.11149702,3.47E-10
不健全-不安,0.3,-6.811497019,7.411497019,1
皮肉-不安,0.4,-6.711497019,7.511497019,1
後悔-不安,1,-6.111497019,8.111497019,1
罪悪感-不安,1.1,-6.011497019,8.211497019,1
服従-不安,1.8,-5.311497019,8.911497019,0.999999995
攻撃-不安,2.6,-4.511497019,9.711497019,0.99996793
軽蔑-不安,3.3,-3.811497019,10.41149702,0.997172144
恐れ-不安,3.7,-3.411497019,10.81149702,0.984107171
怒り-不安,3.9,-3.211497019,11.01149702,0.968277033
畏怖-不安,5.3,-1.811497019,12.41149702,0.541044327
悲観-不安,6.3,-0.811497019,13.41149702,0.179588802
拒絶-不安,6.9,-0.211497019,14.01149702,0.071829046
嫌悪-不安,7,-0.111497019,14.11149702,0.060667077
悲しみ-不安,7.1,-0.011497019,14.21149702,0.051019421
憤慨-不安,8.2,1.088502981,15.31149702,0.00587644
恥辱-不安,9,1.888502981,16.11149702,0.000946106
悲憤-不安,9.5,2.388502981,16.61149702,0.000275337
憎悪-不安,10.1,2.988502981,17.21149702,5.75E-05
絶望-不安,13.6,6.488502981,20.71149702,1.35E-09
皮肉-不健全,0.1,-7.011497019,7.211497019,1
後悔-不健全,0.7,-6.411497019,7.811497019,1
罪悪感-不健全,0.8,-6.311497019,7.911497019,1
服従-不健全,1.5,-5.611497019,8.611497019,1
攻撃-不健全,2.3,-4.811497019,9.411497019,0.999997829
軽蔑-不健全,3,-4.111497019,10.11149702,0.999460973
恐れ-不健全,3.4,-3.711497019,10.51149702,0.995433861
怒り-不健全,3.6,-3.511497019,10.71149702,0.989195864
畏怖-不健全,5,-2.111497019,12.11149702,0.670875841
悲観-不健全,6,-1.111497019,13.11149702,0.265336603
拒絶-不健全,6.6,-0.511497019,13.71149702,0.116044489
嫌悪-不健全,6.7,-0.411497019,13.81149702,0.099354305
悲しみ-不健全,6.8,-0.311497019,13.91149702,0.084669699
憤慨-不健全,7.9,0.788502981,15.01149702,0.011064573
恥辱-不健全,8.7,1.588502981,15.81149702,0.001919271
悲憤-不健全,9.2,2.088502981,16.31149702,0.000582132
憎悪-不健全,9.8,2.688502981,16.91149702,0.000127236
絶望-不健全,13.3,6.188502981,20.41149702,3.67E-09
後悔-皮肉,0.6,-6.511497019,7.711497019,1
罪悪感-皮肉,0.7,-6.411497019,7.811497019,1
服従-皮肉,1.4,-5.711497019,8.511497019,1
攻撃-皮肉,2.2,-4.911497019,9.311497019,0.999999226
軽蔑-皮肉,2.9,-4.211497019,10.01149702,0.999714088
恐れ-皮肉,3.3,-3.811497019,10.41149702,0.997172144
怒り-皮肉,3.5,-3.611497019,10.61149702,0.992866428
畏怖-皮肉,4.9,-2.211497019,12.01149702,0.712046019
悲観-皮肉,5.9,-1.211497019,13.01149702,0.298933103
拒絶-皮肉,6.5,-0.611497019,13.61149702,0.13489276
嫌悪-皮肉,6.6,-0.511497019,13.71149702,0.116044489
悲しみ-皮肉,6.7,-0.411497019,13.81149702,0.099354305
憤慨-皮肉,7.8,0.688502981,14.91149702,0.013569632
恥辱-皮肉,8.6,1.488502981,15.71149702,0.002415453
悲憤-皮肉,9.1,1.988502981,16.21149702,0.000743154
憎悪-皮肉,9.7,2.588502981,16.81149702,0.000164989
絶望-皮肉,13.2,6.088502981,20.31149702,5.12E-09
罪悪感-後悔,0.1,-7.011497019,7.211497019,1
服従-後悔,0.8,-6.311497019,7.911497019,1
攻撃-後悔,1.6,-5.511497019,8.711497019,1
軽蔑-後悔,2.3,-4.811497019,9.411497019,0.999997829
恐れ-後悔,2.7,-4.411497019,9.811497019,0.99993003
怒り-後悔,2.9,-4.211497019,10.01149702,0.999714088
畏怖-後悔,4.3,-2.811497019,11.41149702,0.904517065
悲観-後悔,5.3,-1.811497019,12.41149702,0.541044327
拒絶-後悔,5.9,-1.211497019,13.01149702,0.298933103
嫌悪-後悔,6,-1.111497019,13.11149702,0.265336603
悲しみ-後悔,6.1,-1.011497019,13.21149702,0.234217885
憤慨-後悔,7.2,0.088502981,14.31149702,0.042726213
恥辱-後悔,8,0.888502981,15.11149702,0.008990693
悲憤-後悔,8.5,1.388502981,15.61149702,0.003030772
憎悪-後悔,9.1,1.988502981,16.21149702,0.000743154
絶望-後悔,12.6,5.488502981,19.71149702,3.59E-08
服従-罪悪感,0.7,-6.411497019,7.811497019,1
攻撃-罪悪感,1.5,-5.611497019,8.611497019,1
軽蔑-罪悪感,2.2,-4.911497019,9.311497019,0.999999226
恐れ-罪悪感,2.6,-4.511497019,9.711497019,0.99996793
怒り-罪悪感,2.8,-4.311497019,9.911497019,0.999855082
畏怖-罪悪感,4.2,-2.911497019,11.31149702,0.925182093
悲観-罪悪感,5.2,-1.911497019,12.31149702,0.584820635
拒絶-罪悪感,5.8,-1.311497019,12.91149702,0.334887849
嫌悪-罪悪感,5.9,-1.211497019,13.01149702,0.298933103
悲しみ-罪悪感,6,-1.111497019,13.11149702,0.265336603
憤慨-罪悪感,7.1,-0.011497019,14.21149702,0.051019421
恥辱-罪悪感,7.9,0.788502981,15.01149702,0.011064573
悲憤-罪悪感,8.4,1.288502981,15.51149702,0.003791185
憎悪-罪悪感,9,1.888502981,16.11149702,0.000946106
絶望-罪悪感,12.5,5.388502981,19.61149702,4.94E-08
攻撃-服従,0.8,-6.311497019,7.911497019,1
軽蔑-服従,1.5,-5.611497019,8.611497019,1
恐れ-服従,1.9,-5.211497019,9.011497019,0.999999978
怒り-服従,2.1,-5.011497019,9.211497019,0.999999744
畏怖-服従,3.5,-3.611497019,10.61149702,0.992866428
悲観-服従,4.5,-2.611497019,11.61149702,0.852915167
拒絶-服従,5.1,-2.011497019,12.21149702,0.628283445
嫌悪-服従,5.2,-1.911497019,12.31149702,0.584820635
悲しみ-服従,5.3,-1.811497019,12.41149702,0.541044327
憤慨-服従,6.4,-0.711497019,13.51149702,0.156036112
恥辱-服従,7.2,0.088502981,14.31149702,0.042726213
悲憤-服従,7.7,0.588502981,14.81149702,0.016582864
憎悪-服従,8.3,1.188502981,15.41149702,0.004727568
絶望-服従,11.8,4.688502981,18.91149702,4.37E-07
軽蔑-攻撃,0.7,-6.411497019,7.811497019,1
恐れ-攻撃,1.1,-6.011497019,8.211497019,1
怒り-攻撃,1.3,-5.811497019,8.411497019,1
畏怖-攻撃,2.7,-4.411497019,9.811497019,0.99993003
悲観-攻撃,3.7,-3.411497019,10.81149702,0.984107171
拒絶-攻撃,4.3,-2.811497019,11.41149702,0.904517065
嫌悪-攻撃,4.4,-2.711497019,11.51149702,0.880432875
悲しみ-攻撃,4.5,-2.611497019,11.61149702,0.852915167
憤慨-攻撃,5.6,-1.511497019,12.71149702,0.413053937
恥辱-攻撃,6.4,-0.711497019,13.51149702,0.156036112
悲憤-攻撃,6.9,-0.211497019,14.01149702,0.071829046
憎悪-攻撃,7.5,0.388502981,14.61149702,0.024494782
絶望-攻撃,11,3.888502981,18.11149702,4.69E-06
恐れ-軽蔑,0.4,-6.711497019,7.511497019,1
怒り-軽蔑,0.6,-6.511497019,7.711497019,1
畏怖-軽蔑,2,-5.111497019,9.111497019,0.999999922
悲観-軽蔑,3,-4.111497019,10.11149702,0.999460973
拒絶-軽蔑,3.6,-3.511497019,10.71149702,0.989195864
嫌悪-軽蔑,3.7,-3.411497019,10.81149702,0.984107171
悲しみ-軽蔑,3.8,-3.311497019,10.91149702,0.977254592
憤慨-軽蔑,4.9,-2.211497019,12.01149702,0.712046019
恥辱-軽蔑,5.7,-1.411497019,12.81149702,0.373013931
悲憤-軽蔑,6.2,-0.911497019,13.31149702,0.205634473
憎悪-軽蔑,6.8,-0.311497019,13.91149702,0.084669699
絶望-軽蔑,10.3,3.188502981,17.41149702,3.35E-05
怒り-恐れ,0.2,-6.911497019,7.311497019,1
畏怖-恐れ,1.6,-5.511497019,8.711497019,1
悲観-恐れ,2.6,-4.511497019,9.711497019,0.99996793
拒絶-恐れ,3.2,-3.911497019,10.31149702,0.998309129
嫌悪-恐れ,3.3,-3.811497019,10.41149702,0.997172144
悲しみ-恐れ,3.4,-3.711497019,10.51149702,0.995433861
憤慨-恐れ,4.5,-2.611497019,11.61149702,0.852915167
恥辱-恐れ,5.3,-1.811497019,12.41149702,0.541044327
悲憤-恐れ,5.8,-1.311497019,12.91149702,0.334887849
憎悪-恐れ,6.4,-0.711497019,13.51149702,0.156036112
絶望-恐れ,9.9,2.788502981,17.01149702,9.79E-05
畏怖-怒り,1.4,-5.711497019,8.511497019,1
悲観-怒り,2.4,-4.711497019,9.511497019,0.999994326
拒絶-怒り,3,-4.111497019,10.11149702,0.999460973
嫌悪-怒り,3.1,-4.011497019,10.21149702,0.999026092
悲しみ-怒り,3.2,-3.911497019,10.31149702,0.998309129
憤慨-怒り,4.3,-2.811497019,11.41149702,0.904517065
恥辱-怒り,5.1,-2.011497019,12.21149702,0.628283445
